per,d_p90.0_ranumber,d_p90.1_ranumber,d_p90.2_ranumber,d_p90.3_ranumber,d_p90.4_ranumber,d_p90.5_ranumber,d_p90.6_ranumber,d_p90.7_ranumber,d_p90.8_ranumber,d_p90.9_ranumber,d_p91.0_ranumber,d_p91.1_ranumber,d_p91.2_ranumber,d_p91.3_ranumber,d_p91.4_ranumber,d_p91.5_ranumber,d_p91.6_ranumber,d_p91.7_ranumber,d_p91.8_ranumber,d_p91.9_ranumber,d_p92.0_ranumber,d_p92.1_ranumber,d_p92.2_ranumber,d_p92.3_ranumber,d_p92.4_ranumber,d_p92.5_ranumber,d_p92.6_ranumber,d_p92.7_ranumber,d_p92.8_ranumber,d_p92.9_ranumber,d_p93.0_ranumber,d_p93.1_ranumber,d_p93.2_ranumber,d_p93.3_ranumber,d_p93.4_ranumber,d_p93.5_ranumber,d_p93.6_ranumber,d_p93.7_ranumber,d_p93.8_ranumber,d_p93.9_ranumber,d_p94.0_ranumber,d_p94.1_ranumber,d_p94.2_ranumber,d_p94.3_ranumber,d_p94.4_ranumber,d_p94.5_ranumber,d_p94.6_ranumber,d_p94.7_ranumber,d_p94.8_ranumber,d_p94.9_ranumber,d_p95.0_ranumber,d_p95.1_ranumber,d_p95.2_ranumber,d_p95.3_ranumber,d_p95.4_ranumber,d_p95.5_ranumber,d_p95.6_ranumber,d_p95.7_ranumber,d_p95.8_ranumber,d_p95.9_ranumber,d_p96.0_ranumber,d_p96.1_ranumber,d_p96.2_ranumber,d_p96.3_ranumber,d_p96.4_ranumber,d_p96.5_ranumber,d_p96.6_ranumber,d_p96.7_ranumber,d_p96.8_ranumber,d_p96.9_ranumber,d_p97.0_ranumber,d_p97.1_ranumber,d_p97.2_ranumber,d_p97.3_ranumber,d_p97.4_ranumber,d_p97.5_ranumber,d_p97.6_ranumber,d_p97.7_ranumber,d_p97.8_ranumber,d_p97.9_ranumber,d_p98.0_ranumber,d_p98.1_ranumber,d_p98.2_ranumber,d_p98.3_ranumber,d_p98.4_ranumber,d_p98.5_ranumber,d_p98.6_ranumber,d_p98.7_ranumber,d_p98.8_ranumber,d_p98.9_ranumber,d_p99.0_ranumber,d_p99.1_ranumber,d_p99.2_ranumber,d_p99.3_ranumber,d_p99.4_ranumber,d_p99.5_ranumber,d_p99.6_ranumber,d_p99.7_ranumber,d_p99.8_ranumber,d_p99.9_ranumber,area
18,1.6901408450704225,1.6901408450704225,1.6901408450704225,1.267605633802817,1.267605633802817,1.267605633802817,1.267605633802817,1.267605633802817,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.8450704225352113,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.4225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.1225352112674
19,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,1.0714285714285714,269.36785714285713
20,6.5625,6.5625,6.5625,6.5625,6.09375,6.09375,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,5.15625,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.21875,4.21875,4.21875,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.28125,3.28125,3.28125,3.28125,3.28125,3.28125,2.8125,2.8125,2.8125,2.8125,2.8125,2.34375,2.34375,2.34375,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.40625,0.9375,0.9375,0.46875,711.28125
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.13780487804877
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.79729729729723
23,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,2.307692307692308,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,1.153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.78846153846155
24,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.06666666666666
25,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.6942857142857
26,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0888888888889
27,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.5181818181818
28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.66
29,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.6483516483516483,1.3186813186813189,1.3186813186813189,1.3186813186813189,0.989010989010989,0.989010989010989,0.989010989010989,0.989010989010989,0.6593406593406594,0.6593406593406594,0.6593406593406594,0.6593406593406594,0.6593406593406594,0.6593406593406594,0.6593406593406594,0.6593406593406594,0.6593406593406594,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.3296703296703297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.46923076923076
30,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.0,558.0171428571429
