,datetime1,ra,per
119,2014-10-02 05:45:00,18.290000000000006,1
223,2014-10-03 07:45:00,14.732000000000001,1
1563,2014-10-17 06:45:00,16.26,1
3849,2014-11-10 02:15:00,12.954,2
4688,2014-11-18 20:00:00,14.478,2
4963,2014-11-21 16:45:00,27.178,2
6261,2014-12-05 05:15:00,20.066000000000006,3
6475,2014-12-07 10:45:00,12.446,3
7174,2014-12-14 17:30:00,21.081999999999997,3
13161,2015-02-15 02:15:00,14.478,6
22232,2015-05-20 14:00:00,14.732000000000001,10
22332,2015-05-21 15:00:00,22.094,10
22428,2015-05-22 15:00:00,19.816,10
23131,2015-05-29 22:45:00,16.256,10
30586,2015-08-15 14:30:00,16.764,13
30754,2015-08-17 08:30:00,16.256,13
32791,2015-09-07 13:45:00,25.906,14
34125,2015-09-21 11:15:00,14.732,14
34126,2015-09-21 11:30:00,16.514,14
35102,2015-10-01 15:30:00,17.778,15
35586,2015-10-06 16:30:00,23.878,15
35587,2015-10-06 16:45:00,19.56,15
35588,2015-10-06 17:00:00,20.064,15
36192,2015-10-13 00:00:00,12.7,15
36838,2015-10-19 17:30:00,16.509999999999998,15
36840,2015-10-19 18:00:00,12.7,15
36841,2015-10-19 18:15:00,14.732000000000001,15
37976,2015-10-31 14:00:00,22.864,15
55160,2016-04-27 14:00:00,15.242,15
55161,2016-04-27 14:15:00,12.7,15
55162,2016-04-27 14:30:00,21.588,15
57955,2016-05-26 16:45:00,12.954,16
59770,2016-06-14 14:30:00,12.446000000000002,17
60026,2016-06-17 06:30:00,22.854,17
60027,2016-06-17 06:45:00,18.796,17
60235,2016-06-19 10:45:00,19.816000000000006,17
60582,2016-06-23 01:30:00,32.51,17
61306,2016-06-30 14:30:00,23.88,17
61307,2016-06-30 14:45:00,18.040000000000006,17
61321,2016-06-30 18:15:00,18.292,17
61673,2016-07-04 10:15:00,18.54,17
61691,2016-07-04 14:45:00,17.524,17
61692,2016-07-04 15:00:00,16.764,17
62768,2016-07-15 20:00:00,22.35,18
62769,2016-07-15 20:15:00,14.224,18
63890,2016-07-27 12:30:00,23.624,18
69662,2016-09-25 15:30:00,13.97,19
70429,2016-10-03 15:15:00,18.538,19
71204,2016-10-11 17:00:00,12.7,19
71205,2016-10-11 17:15:00,21.081999999999997,19
71206,2016-10-11 17:30:00,16.256,19
71207,2016-10-11 17:45:00,28.96,19
71208,2016-10-11 18:00:00,13.208,19
73032,2016-10-30 18:00:00,22.605999999999998,20
73033,2016-10-30 18:15:00,26.418000000000003,20
73035,2016-10-30 18:45:00,13.208,20
73419,2016-11-03 18:45:00,15.24,20
73420,2016-11-03 19:00:00,19.05,20
75158,2016-11-21 21:30:00,15.24,20
76626,2016-12-07 04:30:00,15.748,20
77217,2016-12-13 08:15:00,12.446000000000002,20
90478,2017-04-30 11:30:00,15.748,23
90777,2017-05-03 14:15:00,25.15,23
90778,2017-05-03 14:30:00,22.098000000000003,23
92404,2017-05-20 13:00:00,14.224,24
93494,2017-05-31 21:30:00,19.052,24
93495,2017-05-31 21:45:00,24.39,24
93939,2017-06-05 12:45:00,16.76,24
93940,2017-06-05 13:00:00,17.275999999999996,24
98318,2017-07-21 03:30:00,16.51,25
99085,2017-07-29 03:15:00,12.7,25
104215,2017-09-20 13:45:00,26.918000000000003,26
104216,2017-09-20 14:00:00,21.588,26
107832,2017-10-28 06:00:00,19.812,27
109495,2017-11-14 13:45:00,13.716,28
110945,2017-11-29 16:15:00,18.034000000000002,29
111902,2017-12-09 15:30:00,12.954,29
111904,2017-12-09 16:00:00,14.732000000000001,29
115720,2018-01-18 10:00:00,12.446000000000002,29
121874,2018-03-23 12:30:00,12.446000000000002,30
121876,2018-03-23 13:00:00,17.524,30
121877,2018-03-23 13:15:00,13.462,30
125947,2018-05-04 22:45:00,23.118,31
125948,2018-05-04 23:00:00,18.284000000000002,31
126735,2018-05-13 03:45:00,12.7,31
126741,2018-05-13 05:15:00,12.954,31
126742,2018-05-13 05:30:00,13.208000000000002,31
127354,2018-05-19 14:30:00,14.482000000000001,31
127355,2018-05-19 14:45:00,15.748,31
127825,2018-05-24 12:15:00,12.954,32
128313,2018-05-29 14:15:00,17.268,32
128314,2018-05-29 14:30:00,21.59,32
128321,2018-05-29 16:15:00,16.256,32
129374,2018-06-09 15:30:00,16.258,32
129375,2018-06-09 15:45:00,15.492,32
130718,2018-06-23 15:30:00,20.07,32
130819,2018-06-24 16:45:00,16.002,32
130820,2018-06-24 17:00:00,17.78,32
131287,2018-06-29 13:45:00,14.985999999999999,32
131561,2018-07-02 10:15:00,13.716,32
132634,2018-07-13 14:30:00,17.272000000000002,32
133508,2018-07-22 17:00:00,14.732000000000001,32
133785,2018-07-25 14:15:00,28.19,33
134708,2018-08-04 05:00:00,13.462,33
134709,2018-08-04 05:15:00,12.446000000000002,33
135224,2018-08-09 14:00:00,18.8,33
135225,2018-08-09 14:15:00,23.116,33
139633,2018-09-24 12:15:00,12.446000000000002,34
140346,2018-10-01 22:30:00,16.256,34
140347,2018-10-01 22:45:00,21.336,34
141180,2018-10-10 15:00:00,14.732000000000001,34
141369,2018-10-12 14:15:00,17.526,34
141370,2018-10-12 14:30:00,23.88,34
142238,2018-10-21 15:30:00,18.03,34
142362,2018-10-22 22:30:00,12.954,34
143234,2018-11-01 00:30:00,16.002000000000002,35
145302,2018-11-22 13:30:00,14.224,35
162389,2019-05-19 13:15:00,19.564,41
162390,2019-05-19 13:30:00,18.542,41
163635,2019-06-01 12:45:00,12.954,42
163926,2019-06-04 13:30:00,13.97,42
164439,2019-06-09 21:45:00,17.526000000000003,42
166520,2019-07-01 14:00:00,18.288000000000004,43
167381,2019-07-10 13:15:00,15.494000000000002,43
167713,2019-07-14 00:15:00,23.622,43
167766,2019-07-14 13:30:00,17.272000000000002,43
169965,2019-08-06 11:15:00,17.274,44
170694,2019-08-14 01:30:00,12.954,44
171419,2019-08-21 14:45:00,21.336,44
172086,2019-08-28 13:30:00,16.764,45
172087,2019-08-28 13:45:00,14.224,45
175067,2019-09-28 14:45:00,13.207999999999998,46
175230,2019-09-30 07:30:00,22.1,46
175231,2019-09-30 07:45:00,16.51,46
176026,2019-10-08 14:30:00,17.018,46
176215,2019-10-10 13:45:00,25.15,46
176777,2019-10-16 10:15:00,15.745999999999999,46
177756,2019-10-26 15:00:00,21.848000000000003,47
178381,2019-11-02 03:15:00,13.208,47
178507,2019-11-03 10:45:00,17.78,47
179753,2019-11-16 10:15:00,16.256,47
