per,h_p90.0_wsnumber,h_p90.1_wsnumber,h_p90.2_wsnumber,h_p90.3_wsnumber,h_p90.4_wsnumber,h_p90.5_wsnumber,h_p90.6_wsnumber,h_p90.7_wsnumber,h_p90.8_wsnumber,h_p90.9_wsnumber,h_p91.0_wsnumber,h_p91.1_wsnumber,h_p91.2_wsnumber,h_p91.3_wsnumber,h_p91.4_wsnumber,h_p91.5_wsnumber,h_p91.6_wsnumber,h_p91.7_wsnumber,h_p91.8_wsnumber,h_p91.9_wsnumber,h_p92.0_wsnumber,h_p92.1_wsnumber,h_p92.2_wsnumber,h_p92.3_wsnumber,h_p92.4_wsnumber,h_p92.5_wsnumber,h_p92.6_wsnumber,h_p92.7_wsnumber,h_p92.8_wsnumber,h_p92.9_wsnumber,h_p93.0_wsnumber,h_p93.1_wsnumber,h_p93.2_wsnumber,h_p93.3_wsnumber,h_p93.4_wsnumber,h_p93.5_wsnumber,h_p93.6_wsnumber,h_p93.7_wsnumber,h_p93.8_wsnumber,h_p93.9_wsnumber,h_p94.0_wsnumber,h_p94.1_wsnumber,h_p94.2_wsnumber,h_p94.3_wsnumber,h_p94.4_wsnumber,h_p94.5_wsnumber,h_p94.6_wsnumber,h_p94.7_wsnumber,h_p94.8_wsnumber,h_p94.9_wsnumber,h_p95.0_wsnumber,h_p95.1_wsnumber,h_p95.2_wsnumber,h_p95.3_wsnumber,h_p95.4_wsnumber,h_p95.5_wsnumber,h_p95.6_wsnumber,h_p95.7_wsnumber,h_p95.8_wsnumber,h_p95.9_wsnumber,h_p96.0_wsnumber,h_p96.1_wsnumber,h_p96.2_wsnumber,h_p96.3_wsnumber,h_p96.4_wsnumber,h_p96.5_wsnumber,h_p96.6_wsnumber,h_p96.7_wsnumber,h_p96.8_wsnumber,h_p96.9_wsnumber,h_p97.0_wsnumber,h_p97.1_wsnumber,h_p97.2_wsnumber,h_p97.3_wsnumber,h_p97.4_wsnumber,h_p97.5_wsnumber,h_p97.6_wsnumber,h_p97.7_wsnumber,h_p97.8_wsnumber,h_p97.9_wsnumber,h_p98.0_wsnumber,h_p98.1_wsnumber,h_p98.2_wsnumber,h_p98.3_wsnumber,h_p98.4_wsnumber,h_p98.5_wsnumber,h_p98.6_wsnumber,h_p98.7_wsnumber,h_p98.8_wsnumber,h_p98.9_wsnumber,h_p99.0_wsnumber,h_p99.1_wsnumber,h_p99.2_wsnumber,h_p99.3_wsnumber,h_p99.4_wsnumber,h_p99.5_wsnumber,h_p99.6_wsnumber,h_p99.7_wsnumber,h_p99.8_wsnumber,h_p99.9_wsnumber,area
1,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,3.4285714285714284,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.5714285714285716,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,185.70000000000002
2,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,4.285714285714286,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.4714285714285
3,51.0,51.0,49.5,49.5,48.0,46.5,46.5,45.0,43.5,43.5,43.5,42.0,42.0,39.0,37.5,36.0,36.0,34.5,34.5,34.5,34.5,34.5,33.0,33.0,31.5,30.0,30.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,25.5,25.5,25.5,25.5,24.0,22.5,22.5,22.5,22.5,21.0,21.0,21.0,21.0,18.0,18.0,15.0,15.0,15.0,15.0,13.5,13.5,13.5,13.5,13.5,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,9.0,9.0,7.5,7.5,7.5,7.5,7.5,6.0,6.0,4.5,4.5,4.5,4.5,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,830.13
4,102.5,102.5,102.5,102.5,102.5,102.5,100.0,100.0,98.75,97.5,96.25,96.25,96.25,95.0,91.25,87.5,87.5,86.25,86.25,86.25,85.0,82.5,82.5,81.25,81.25,80.0,80.0,80.0,80.0,78.75,77.5,77.5,77.5,77.5,76.25,76.25,75.0,75.0,72.5,68.75,68.75,67.5,67.5,63.75,63.75,61.24999999999999,61.24999999999999,57.5,57.5,55.0,53.75,52.5,52.5,52.5,51.25,51.25,51.25,50.0,50.0,48.75,47.5,43.75,43.75,43.75,41.25,41.25,40.0,40.0,38.75,36.25,33.75,32.5,32.5,30.0,27.5,26.25,23.75,22.5,22.5,22.5,20.0,20.0,18.75,17.5,16.25,16.25,15.0,13.75,12.5,11.25,10.0,8.75,7.5,5.0,3.75,2.5,2.5,2.5,0.0,0.0,410.34999999999997
5,199.6875,196.875,195.0,193.125,190.3125,190.3125,188.4375,182.8125,178.125,178.125,175.3125,174.375,173.4375,171.5625,167.8125,165.9375,164.0625,162.1875,159.375,158.4375,155.625,153.75,150.9375,150.0,143.4375,139.6875,137.8125,136.875,133.125,132.1875,131.25,128.4375,128.4375,124.6875,123.75,121.875,120.0,119.0625,115.3125,114.375,113.4375,109.6875,107.8125,101.25,100.3125,97.5,95.625,91.875,90.9375,86.25,85.3125,83.4375,81.5625,78.75,78.75,76.875,75.9375,75.0,73.125,73.125,71.25,69.375,67.5,64.6875,62.8125,60.0,57.1875,54.375,52.5,51.5625,49.6875,49.6875,47.8125,45.9375,45.9375,45.0,44.0625,42.1875,38.4375,36.5625,33.75,32.8125,31.875,28.125,25.3125,23.4375,22.5,22.5,20.625,20.625,17.8125,16.875,14.0625,13.125,13.125,9.375,7.5,6.5625,3.75,2.8125,579.1031250000001
6,295.7142857142857,295.7142857142857,291.4285714285714,291.4285714285714,285.0,285.0,285.0,280.7142857142857,276.4285714285714,276.4285714285714,274.2857142857143,267.8571428571429,265.7142857142857,263.5714285714286,263.5714285714286,261.4285714285714,259.2857142857143,257.1428571428571,250.71428571428572,246.42857142857142,242.14285714285714,240.0,235.7142857142857,235.7142857142857,235.7142857142857,233.57142857142856,233.57142857142856,229.2857142857143,222.85714285714286,220.7142857142857,218.57142857142856,216.42857142857144,216.42857142857144,216.42857142857144,210.0,210.0,201.42857142857144,197.14285714285714,190.7142857142857,190.7142857142857,182.14285714285714,182.14285714285714,182.14285714285714,182.14285714285714,177.85714285714286,173.57142857142856,173.57142857142856,173.57142857142856,167.14285714285714,160.7142857142857,158.57142857142856,154.2857142857143,152.14285714285714,143.57142857142856,143.57142857142856,141.42857142857144,139.2857142857143,137.14285714285714,132.85714285714286,132.85714285714286,128.57142857142856,124.28571428571429,117.85714285714285,115.71428571428572,111.42857142857143,111.42857142857143,111.42857142857143,109.28571428571428,105.0,105.0,100.71428571428572,96.42857142857143,96.42857142857143,94.28571428571428,90.0,85.71428571428572,83.57142857142857,81.42857142857143,79.28571428571428,75.0,68.57142857142857,64.28571428571428,62.142857142857146,62.142857142857146,55.714285714285715,55.714285714285715,53.57142857142858,49.285714285714285,47.14285714285714,40.714285714285715,38.57142857142858,36.42857142857142,30.0,27.857142857142858,23.57142857142857,23.57142857142857,19.28571428571429,17.142857142857142,12.857142857142856,8.571428571428571,1429.9071428571426
7,276.85714285714283,276.85714285714283,276.0,275.1428571428571,273.42857142857144,271.7142857142857,270.85714285714283,267.42857142857144,264.8571428571429,264.8571428571429,262.2857142857143,258.85714285714283,257.1428571428571,256.2857142857143,253.71428571428572,251.14285714285717,247.71428571428575,240.85714285714286,236.57142857142858,234.0,229.71428571428572,227.14285714285714,223.71428571428572,223.71428571428572,223.71428571428572,223.71428571428572,221.14285714285714,219.42857142857142,213.42857142857142,212.57142857142856,211.71428571428572,209.14285714285714,206.57142857142858,204.0,200.57142857142858,199.71428571428572,197.14285714285714,195.42857142857142,193.71428571428572,190.28571428571428,186.85714285714286,184.2857142857143,180.0,174.0,171.42857142857144,170.57142857142858,167.14285714285714,164.57142857142858,163.71428571428572,157.71428571428572,157.71428571428572,155.14285714285714,154.2857142857143,150.85714285714286,149.14285714285714,144.85714285714286,142.28571428571428,139.71428571428572,135.42857142857142,130.28571428571428,126.85714285714286,122.57142857142856,119.14285714285714,119.14285714285714,118.28571428571429,117.42857142857143,113.14285714285714,110.57142857142857,105.42857142857143,103.71428571428572,100.28571428571429,96.85714285714286,94.28571428571428,93.42857142857143,90.85714285714286,85.71428571428572,84.85714285714286,78.85714285714286,77.14285714285715,74.57142857142857,70.28571428571429,69.42857142857143,64.28571428571428,62.57142857142858,57.42857142857143,53.14285714285714,50.57142857142857,48.0,44.57142857142857,42.85714285714286,39.42857142857143,35.142857142857146,30.0,28.285714285714285,24.857142857142858,23.142857142857142,20.571428571428573,15.428571428571427,8.571428571428571,4.285714285714286,211.49142857142857
8,218.57142857142856,217.14285714285714,217.14285714285714,217.14285714285714,217.14285714285714,215.71428571428572,215.71428571428572,214.2857142857143,210.0,208.57142857142858,205.7142857142857,200.0,195.71428571428572,195.71428571428572,191.42857142857144,188.57142857142856,188.57142857142856,188.57142857142856,188.57142857142856,188.57142857142856,184.2857142857143,184.2857142857143,182.85714285714283,182.85714285714283,177.14285714285717,177.14285714285717,172.85714285714286,170.0,168.57142857142856,168.57142857142856,168.57142857142856,168.57142857142856,168.57142857142856,164.28571428571428,162.85714285714286,160.0,157.14285714285714,155.71428571428572,152.85714285714283,151.42857142857142,150.0,142.85714285714286,142.85714285714286,138.57142857142856,137.14285714285714,137.14285714285714,137.14285714285714,137.14285714285714,134.28571428571428,131.42857142857144,130.0,127.14285714285714,127.14285714285714,125.71428571428572,124.28571428571429,121.42857142857142,115.71428571428572,110.0,107.14285714285715,104.28571428571429,102.85714285714285,101.42857142857143,97.14285714285714,95.71428571428572,94.28571428571428,92.85714285714286,91.42857142857142,85.71428571428572,81.42857142857143,80.0,80.0,80.0,75.71428571428571,72.85714285714285,70.0,64.28571428571428,64.28571428571428,60.0,57.14285714285714,52.857142857142854,47.14285714285714,45.71428571428571,42.85714285714286,42.85714285714286,41.42857142857143,38.57142857142858,32.85714285714286,31.42857142857143,28.57142857142857,28.57142857142857,28.57142857142857,27.142857142857142,21.42857142857143,20.0,17.142857142857142,14.285714285714285,12.857142857142856,8.571428571428571,2.8571428571428568,0.0,74.97142857142858
9,53.57142857142858,51.42857142857142,48.214285714285715,48.214285714285715,47.14285714285714,47.14285714285714,47.14285714285714,45.0,42.85714285714286,42.85714285714286,42.85714285714286,42.85714285714286,42.85714285714286,40.714285714285715,39.64285714285714,38.57142857142858,38.57142857142858,36.42857142857142,36.42857142857142,36.42857142857142,33.214285714285715,33.214285714285715,32.14285714285714,31.071428571428573,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,28.92857142857143,28.92857142857143,27.857142857142858,26.78571428571429,25.71428571428571,24.642857142857142,22.5,21.42857142857143,18.21428571428571,18.21428571428571,18.21428571428571,16.07142857142857,16.07142857142857,13.928571428571429,12.857142857142856,12.857142857142856,12.857142857142856,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,10.714285714285715,9.642857142857144,9.642857142857144,8.571428571428571,8.571428571428571,7.5,7.5,7.5,7.5,6.428571428571428,5.357142857142858,5.357142857142858,5.357142857142858,3.214285714285714,2.142857142857143,2.142857142857143,2.142857142857143,2.142857142857143,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.99285714285716
10,22.857142857142854,22.857142857142854,22.857142857142854,22.857142857142854,20.0,20.0,20.0,20.0,20.0,20.0,20.0,18.571428571428573,18.571428571428573,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,17.142857142857142,15.714285714285715,14.285714285714285,14.285714285714285,11.428571428571427,11.428571428571427,11.428571428571427,11.428571428571427,10.0,10.0,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,8.571428571428571,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,7.142857142857142,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,5.7142857142857135,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,2.8571428571428568,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1.4285714285714284,1213.6857142857143
11,37.89473684210526,33.15789473684211,31.57894736842105,31.57894736842105,30.0,30.0,30.0,30.0,30.0,30.0,28.421052631578945,26.842105263157894,26.842105263157894,25.263157894736842,22.105263157894736,22.105263157894736,22.105263157894736,22.105263157894736,20.526315789473685,20.526315789473685,20.526315789473685,20.526315789473685,18.94736842105263,18.94736842105263,18.94736842105263,18.94736842105263,18.94736842105263,17.36842105263158,15.789473684210526,14.210526315789473,14.210526315789473,14.210526315789473,14.210526315789473,14.210526315789473,14.210526315789473,14.210526315789473,14.210526315789473,14.210526315789473,14.210526315789473,14.210526315789473,14.210526315789473,12.631578947368421,12.631578947368421,11.052631578947368,11.052631578947368,11.052631578947368,11.052631578947368,9.473684210526315,9.473684210526315,9.473684210526315,9.473684210526315,9.473684210526315,9.473684210526315,7.894736842105263,3.1578947368421053,3.1578947368421053,3.1578947368421053,3.1578947368421053,3.1578947368421053,3.1578947368421053,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,1.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.1052631578948
12,28.0,28.0,28.0,28.0,24.0,24.0,24.0,24.0,24.0,22.0,22.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,14.0,14.0,14.0,14.0,14.0,12.0,12.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.64
13,28.333333333333332,28.333333333333332,28.333333333333332,28.333333333333332,26.666666666666664,26.666666666666664,25.833333333333336,25.833333333333336,24.166666666666668,24.166666666666668,24.166666666666668,23.333333333333332,23.333333333333332,21.666666666666668,20.833333333333332,19.166666666666664,19.166666666666664,18.333333333333336,17.5,17.5,16.666666666666668,15.833333333333334,15.833333333333334,15.833333333333334,15.833333333333334,15.833333333333334,15.833333333333334,15.0,15.0,15.0,14.166666666666666,14.166666666666666,14.166666666666666,14.166666666666666,14.166666666666666,14.166666666666666,13.333333333333332,12.5,10.833333333333334,10.833333333333334,10.833333333333334,10.0,10.0,9.166666666666668,8.333333333333334,7.5,6.666666666666666,6.666666666666666,6.666666666666666,6.666666666666666,6.666666666666666,6.666666666666666,6.666666666666666,6.666666666666666,6.666666666666666,5.0,5.0,5.0,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,3.333333333333333,3.333333333333333,3.333333333333333,2.5,2.5,2.5,2.5,2.5,2.5,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051.4666666666667
14,10.0,10.0,10.0,8.333333333333334,7.5,7.5,7.5,7.5,7.5,7.5,7.5,6.666666666666666,6.666666666666666,6.666666666666666,5.833333333333333,5.833333333333333,5.833333333333333,5.0,5.0,4.166666666666667,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.2833333333333
